detected_date,previous_vintage_date,state_name,report_date,data_type,field,old_value,new_value,source
2026-05-09,2026-05-08,Maine,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Michigan,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Michigan,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Michigan,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Michigan,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Minnesota,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Minnesota,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Minnesota,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Minnesota,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Missouri,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Missouri,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Missouri,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Missouri,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Mississippi,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Mississippi,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Mississippi,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Mississippi,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Montana,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Montana,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Montana,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Montana,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,North Carolina,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,North Carolina,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,North Carolina,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,North Carolina,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,North Dakota,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,North Dakota,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,North Dakota,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,North Dakota,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Nebraska,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Nebraska,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Nebraska,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Nebraska,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Hampshire,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Hampshire,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Hampshire,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Hampshire,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Jersey,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Jersey,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Jersey,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Jersey,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Mexico,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Mexico,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Mexico,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,New Mexico,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Nevada,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Nevada,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Nevada,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Nevada,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New York,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New York,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,New York,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,New York,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Ohio,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Ohio,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Ohio,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Ohio,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Oklahoma,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Oklahoma,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Oklahoma,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Oklahoma,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Oregon,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Oregon,201309,U,total_chip_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Oregon,201309,U,total_medicaid_and_chip_determinations,,None,data.medicaid.gov
2026-05-09,2026-05-08,Oregon,201309,U,medicaid_and_chip_child_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Pennsylvania,201309,U,total_medicaid_enrollment,,None,data.medicaid.gov
2026-05-09,2026-05-08,Pennsylvania,201309,U,total_chip_enrollment,,None,data.medicaid.gov
